2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,785 - prajna_atomic - INFO - [SUCCESS] Final verification: app.state.prajna exists and is_loaded=True
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:     Application startup complete.
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:     Uvicorn running on http://0.0.0.0:8001 (Press CTRL+C to quit)
2025-06-10 18:46:47 | DEBUG    | tori.prajna | Health check attempt 4: HTTPConnectionPool(host='127.0.0.1', port=8001): Max retries exceeded with url: /api/health (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002AD77E91D90>, 'Connection to 127.0.0.1 timed out. (connect timeout=2)'))
2025-06-10 18:46:48 | INFO     | tori.prajna | [STDOUT] [Prajna] API module imported - startup hook should run!
2025-06-10 18:46:48 | INFO     | tori.prajna | [STDOUT] INFO:     127.0.0.1:54953 - "GET /api/health HTTP/1.1" 200 OK
2025-06-10 18:46:48 | INFO     | tori.prajna | Health check passed - Prajna is ready!
2025-06-10 18:46:48 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:48,879 - prajna_atomic - INFO - [PRAJNA] Query by basic: 'Test Prajna startup'
2025-06-10 18:46:48 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:48,880 - saigon - WARNING - Model file not found: ./models/efficientnet/saigon_lstm.pt
2025-06-10 18:46:48 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:48,880 - saigon - WARNING - LSTM model not available - falling back to raw mesh text
2025-06-10 18:46:48 | INFO     | tori.prajna | [STDOUT] INFO:     127.0.0.1:54954 - "POST /api/answer HTTP/1.1" 200 OK
2025-06-10 18:46:48 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:48,880 - saigon_utils - INFO - Mesh traversal: 2 concepts -> 188 chars in 0.001s
2025-06-10 18:46:48 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:48,880 - prajna.mouth - INFO - Saigon generation: fallback_raw, processing_time=0.001s
2025-06-10 18:46:48 | INFO     | tori.prajna | Test query successful
2025-06-10 18:46:48 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:48,880 - prajna_atomic - INFO - [PRAJNA] Response generated
2025-06-10 18:46:48 | INFO     | tori.prajna | === PRAJNA STARTUP SEQUENCE SUCCESS ===
